birdname,filename,region,invivoenz,postinjtime,ichenz,cellnumb,pnnarea,nucarea,gaparea
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,1,1155.563,3939.619,111.541
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,2,749.554,3584.176,0
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,3,1256.692,4779.893,0
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,4,6521.415,7392.921,0
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,5,310.826,1711.779,0
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,6,2317.074,6380.131,1087.151
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,7,1740.035,4738.251,1076.74
W79,zf_15_174_40x_rh409and410_levels_draw_GAP.tif (red),LMAN,1,3,1,8,1768.293,6902.142,243.902
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,1,422.368,3258.477,1445.568
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,2,5529.446,3912.849,224.569
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,3,1573.469,3671.921,892.326
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,4,1521.414,2642.772,0
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,5,1432.184,4089.827,315.289
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,6,165.08,2694.825,0
W79,zf_15_174_40x_rh413and414_levels_draw_GAP.tif (red),LMAN,1,3,1,7,279.595,4550.863,1820.345
W79,zf_15_174_40x_rh457and458_levels_draw_GAP.tif (red),LMAN,1,3,0,1,1815.885,2914.932,1906.603
W79,zf_15_174_40x_rh457and458_levels_draw_GAP.tif (red),LMAN,1,3,0,2,2178.761,2626.413,0
W79,zf_15_174_40x_rh457and458_levels_draw_GAP.tif (red),LMAN,1,3,0,3,1395.002,4745.687,1042.534
W79,zf_15_174_40x_rh457and458_levels_draw_GAP.tif (red),LMAN,1,3,0,4,2422.665,3790.898,522.011
