bird,filename,RAlesion,PNN_remov,song_when,intro_notes,harm_stacks,FM_sweeps,other,song_length
G44,G44_42415.30807137_2_15_8_33_27.wav,0,#sham1,prelesion,5,10,4,0,
G44,G44_42415.32290661_2_15_8_58_10.wav,0,#sham1,prelesion,3,10,5,0,
G44,G44_42415.32335627_2_15_8_58_55_song1,0,#sham1,prelesion,3,8,4,0,
G44,G44_42415.32380885_2_15_8_59_40.wav,0,#sham1,prelesion,3,15,7,0,
G44,G44_42415.32472715_2_15_9_1_12.wav,0,#sham1,prelesion,3,5,3,0,
G44,G44_42429.26413133_2_29_7_20_13.wav,0,#sham1,preinjection,4,11,5,0,
G44,G44_42429.26987149_2_29_7_29_47.wav,0,#sham1,preinjection,5,10,5,0,
G44,G44_42429.27005191_2_29_7_30_5.wav,0,#sham1,preinjection,3,9,4,0,
G44,G44_42429.27023833_2_29_7_30_23.wav,0,#sham1,preinjection,2,8,4,0,
G44,G44_42429.27038696_2_29_7_30_38.wav,0,#sham1,preinjection,2,5,3,0,
G44,G44_42519.27502092_5_29_7_38_22.wav,0,#sham1,day 90,5,4,3,0,
G44,G44_42519.27581752_5_29_7_39_41.wav,0,#sham1,day 90,5,3,3,0,
G44,G44_42519.27645931_5_29_7_40_45.wav,0,#sham1,day 90,4,9,5,0,
G44,G44_42519.27672830_5_29_7_41_12.wav,0,#sham1,day 90,4,6,3,0,
G44,G44_42519.27806257_5_29_7_43_26.wav,0,#sham1,day 90,5,9,5,0,
O16,O16_42193.25697914_7_8_7_8_17.wav,1,#sham1,prelesion,3,0,1,6,
O16,O16_42193.25717419_7_8_7_8_37_song1.wav,1,#sham1,prelesion,1,0,3,15,
O16,O16_42193.25717419_7_8_7_8_37_song2.wav,1,#sham1,prelesion,1,0,5,18,
O16,O16_42193.25717419_7_8_7_8_37_song3.wav,1,#sham1,prelesion,3,0,3,9,
O16,O16_42193.25732495_7_8_7_8_52.wav,1,#sham1,prelesion,3,2,7,27,
O16,O16_42212.25809539_7_27_7_10_9.wav,1,#sham1,preinjection,3,8,4,27,
O16,O16_42212.25824217_7_27_7_10_24.wav,1,#sham1,preinjection,3,3,11,18,
O16,O16_42212.25843286_7_27_7_10_43.wav,1,#sham1,preinjection,4,4,9,27,
O16,O16_42212.25855832_7_27_7_10_55.wav,1,#sham1,preinjection,4,0,1,6,
O16,O16_42212.25952025_7_27_7_12_32.wav,1,#sham1,preinjection,3,2,9,21,
O16,O16_42302.26424524_10_25_7_20_24.wav,1,#sham1,day 90,3,6,7,23,
O16,O16_42302.29305172_10_25_8_8_25.wav,1,#sham1,day 90,2,3,3,14,
O16,O16_42302.29315211_10_25_8_8_35.wav,1,#sham1,day 90,2,5,5,13,
O16,O16_42302.29587038_10_25_8_13_7.wav,1,#sham1,day 90,2,2,2,8,
O16,O16_42302.29605844_10_25_8_13_25.wav,1,#sham1,day 90,2,5,5,17,
Red 7,Red7_42108.26032662_4_14_7_13_52.wav,0,1,prelesion,3,4,6,6,
Red 7,Red7_42108.26053994_4_14_7_14_13.wav,0,1,prelesion,1,4,5,9,
Red 7,Red7_42108.26069536_4_14_7_14_29.wav,0,1,prelesion,1,2,3,4,
Red 7,Red7_42108.26077916_4_14_7_14_37.wav,0,1,prelesion,1,2,3,4,
Red 7,Red7_42108.26656433_4_14_7_24_16.wav,0,1,prelesion,1,4,6,7,
Red 7,Red7_42128.25758607_5_4_7_9_18.wav,0,1,preinjection,1,4,5,10,
Red 7,Red7_42128.25892027_5_4_7_11_32_song1.wav,0,1,preinjection,1,4,5,10,
Red 7,Red7_42128.25892027_5_4_7_11_32_song2.wav,0,1,preinjection,1,4,4,8,
Red 7,Red7_42128.25903019_5_4_7_11_43.wav,0,1,preinjection,1,6,6,12,
Red 7,Red7_42128.25923419_5_4_7_12_3.wav,0,1,preinjection,1,5,4,10,
Red 7,Red7_42219.27654851_8_3_7_40_54.wav,0,1,day 90,4,2,2,4,
Red 7,Red7_42219.27662154_8_3_7_41_2.wav,0,1,day 90,1,2,2,4,
Red 7,Red7_42219.27673085_8_3_7_41_13_song1.wav,0,1,day 90,2,2,1,3,
Red 7,Red7_42219.27673085_8_3_7_41_13_song2.wav,0,1,day 90,1,2,2,4,
Red 7,Red7_42219.27673085_8_3_7_41_13_song3.wav,0,1,day 90,1,2,2,4,
Red 8,Red8_42102.50698201_4_8_14_4_58_song1.wav,1,1,prelesion,2,1,2,4,
Red 8,Red8_42102.50698201_4_8_14_4_58_song2.wav,1,1,prelesion,1,2,2,4,
Red 8,Red8_42102.50842542_4_8_14_7_22.wav,1,1,prelesion,2,2,2,4,
Red 8,Red8_42102.50849572_4_8_14_7_29.wav,1,1,prelesion,1,3,4,8,
Red 8,Red8_42102.51277334_4_8_14_14_37.wav,1,1,prelesion,2,5,5,13,
Red 8,Red8_42115.25856597_4_21_7_10_56.wav,1,1,preinjection,1,0,26,0,
Red 8,Red8_42115.25866066_4_21_7_11_6.wav,1,1,preinjection,2,0,22,0,
Red 8,Red8_42115.25884829_4_21_7_11_24_song1.wav,1,1,preinjection,3,0,24,0,
Red 8,Red8_42115.25884829_4_21_7_11_24_song2.wav,1,1,preinjection,1,0,19,0,
Red 8,Red8_42115.25928575_4_21_7_12_8_song1.wav,1,1,preinjection,2,0,23,0,
Red 8,Red8_42205.28056333_7_20_7_47_36.wav,1,1,day 90,2,1,2,4,
Red 8,Red8_42205.28152931_7_20_7_49_12.wav,1,1,day 90,1,2,6,8,
Red 8,Red8_42205.28290857_7_20_7_51_30_song1.wav,1,1,day 90,1,4,10,12,
Red 8,Red8_42205.28290857_7_20_7_51_30_song2.wav,1,1,day 90,0,0,4,3,
Red 8,Red8_42205.28430824_7_20_7_53_50.wav,1,1,day 90,1,2,5,11,
O22,O22_42242.30653476_8_26_8_30_53.wav,0,2,prelesion,5,4,7,11,
O22,O22_42242.30669202_8_26_8_31_9.wav,0,2,prelesion,3,4,7,9,
O22,O22_42242.31531046_8_26_8_45_31.wav,0,2,prelesion,5,3,5,7,
O22,O22_42244.24022871_8_28_6_40_22.wav,0,2,prelesion,3,4,6,10,
O22,O22_42244.24038626_8_28_6_40_38.wav,0,2,prelesion,3,3,7,9,
O22,O22_42264.20981563_9_17_5_49_41.wav,0,2,preinjection,3,2,9,13,
O22,O22_42264.21611384_9_17_6_0_11.wav,0,2,preinjection,4,0,3,4,
O22,O22_42264.21622934_9_17_6_0_22.wav,0,2,preinjection,2,4,13,18,
O22,O22_42264.22010459_9_17_6_6_50.wav,0,2,preinjection,3,2,14,22,
